id_left,location_left,text_left,length_left
0,"[447339.515006796, 4412146.136382342]","[5420, 12414, 5436, 894]",4
1,"[453480.33033764194, 4417441.210324296]","[11643, 16901, 11845, 19915, 4358, 23369, 11648, 19918]",8
2,"[448393.6401253034, 4411681.670111523]","[4216, 27401, 19590, 28216, 4240]",5
3,"[458528.7356934965, 4417564.540337055]","[13511, 7038, 13512]",3
4,"[442152.9105391108, 4425292.62243036]","[22409, 5788, 27505, 22415]",4
5,"[442677.3983755521, 4417057.396750952]","[14795, 26390, 8937, 12811, 8611, 14821, 9055]",7
6,"[454529.5396755297, 4416215.482106028]","[13015, 7744, 22498, 13023]",4
7,"[417920.2583454255, 4396551.820537149]","[9663, 5591, 15059, 9667]",4
8,"[454585.4522430326, 4405850.288651742]","[1933, 25036, 11725, 8548, 2028, 11746]",6
9,"[466276.68358363153, 4417678.802749359]","[18079, 22167, 18095]",3
10,"[442158.2452005636, 4410506.859023177]","[3087, 2043, 25586, 11174, 27008, 27590, 2167, 27047]",8
11,"[441148.9374042822, 4416764.16490361]","[12719, 16798, 11725, 8548, 12740, 11746]",6
12,"[453246.49262270826, 4417595.065244371]","[17955, 28063, 17961]",3
13,"[441878.86864796444, 4420112.041889221]","[21531, 27437, 21786]",3
14,"[473234.7958784782, 4426949.02713128]","[1933, 25036, 2028]",3
15,"[508600.07932499534, 4462269.679734676]","[4831, 10001, 4838]",3
16,"[455331.50639650656, 4432825.33975618]","[13835, 19147, 4711, 13954]",4
17,"[448134.5330133937, 4425401.961682405]","[10681, 17420, 11920, 28404, 24999, 27663, 26109, 1933, 11387, 18079, 28063, 10828, 28418, 27755, 1975, 18100]",16
18,"[436391.3229655907, 4451405.347196131]","[14240, 11656, 10555, 2941, 8226, 14242, 10561]",7
19,"[437892.81494650844, 4420600.754327109]","[28350, 12230, 5802, 28371]",4
20,"[439597.4615422678, 4413575.241299661]","[8398, 14253, 8226, 27294, 7673, 8226, 8405, 27298]",8
21,"[441693.46537603834, 4395724.991968565]","[24303, 4039, 18217, 24305]",4
22,"[434769.7095824299, 4453096.034534174]","[21434, 7540, 21438]",3
23,"[438517.1565860024, 4410687.682530879]","[15840, 22760, 10648, 7293, 9649, 23042, 15846, 10649, 9659]",9
24,"[440449.3055000188, 4417379.311625933]","[23795, 22167, 18231, 23797]",4
25,"[439128.3652015192, 4428364.867960327]","[22409, 5788, 27505, 22415]",4
26,"[488772.96710005304, 4469132.548955201]","[7598, 28479, 28250, 7617]",4
27,"[456414.0991015108, 4417271.470713184]","[8849, 9879, 10436, 8859]",4
28,"[437272.96948382416, 4430818.8975058915]","[17640, 26794, 17648]",3
29,"[454177.3266809082, 4416217.587336117]","[21531, 19211, 21699]",3
30,"[451082.8925739657, 4409682.466591087]","[18478, 13480, 18500]",3
31,"[451487.03597657185, 4436202.400040853]","[17446, 16710, 17454]",3
32,"[440343.6455628793, 4433842.864261757]","[15886, 3087, 24425, 15889]",4
33,"[439399.2685637487, 4432935.73223452]","[12091, 1721, 10371, 23676, 20903, 12092, 23682, 219]",8
34,"[438148.5214131695, 4423190.030648933]","[17064, 17263, 28427, 11786, 17149, 28438]",6
35,"[441055.9229724955, 4435056.778481746]","[8042, 6350, 8269, 26508, 12291, 8611, 8054, 8367, 12299]",9
36,"[439585.4181073001, 4412051.037747839]","[28404, 24999, 18128, 28420]",4
37,"[452821.30677102983, 4424761.767577311]","[11331, 11180, 8611, 11194]",4
38,"[442798.3804157164, 4401813.702755117]","[9663, 5591, 15059, 9667]",4
39,"[439901.9311825224, 4407475.673165031]","[23042, 25586, 23042, 25586, 23101]",5
40,"[460287.8956424042, 4417250.337116628]","[24361, 28137, 17861, 26109, 22409, 5788, 27505, 6849, 24362, 17906, 22416]",11
41,"[475845.04252775415, 4436695.475304472]","[7313, 19147, 16359, 7334]",4
42,"[456245.88830265857, 4428856.87211654]","[17064, 27788, 4321, 17198]",4
43,"[445453.5060387002, 4411244.79232909]","[22227, 12414, 8677, 22229]",4
44,"[470362.828255457, 4442049.86997553]","[22098, 10272, 17587, 22117]",4
45,"[441737.0899416993, 4416912.084426371]","[16901, 17058, 16912]",3
46,"[448761.3899654487, 4413965.596960839]","[16405, 8705, 18761, 16416]",4
47,"[486562.5114338537, 4471727.533516604]","[22227, 12414, 8677, 22229]",4
48,"[429816.17299586366, 4397196.128226525]","[9885, 21151, 18217, 9898]",4
49,"[456043.51914526854, 4414072.6679229345]","[21531, 10506, 27008, 25420, 17313, 16872, 21624, 27042, 17347]",9
50,"[454723.071425648, 4429018.213232676]","[28216, 18324, 28229]",3
51,"[441527.9102390987, 4435510.43190553]","[20101, 19400, 20103]",3
52,"[457530.45372386335, 4406900.356666484]","[15141, 9943, 14101, 14885, 13808, 18937, 15149, 14125]",8
